country,country_code,year,total_pop,gdp,urban_pop_perc
Aruba,ABW,1960,54922.0, 0, 50.776
Africa Eastern and Southern,AFE,1960,130072080.0,24210632546.4092,14.5766764581838
Afghanistan,AFG,1960,9035043.0, 0, 8.401
Africa Western and Central,AFW,1960,97630925.0,11904954209.7913,14.7100056707647
Angola,AGO,1960,5231654.0, 0, 10.435
Albania,ALB,1960,1608800.0, 0, 30.705
Andorra,AND,1960,9510.0, 0, 58.45
Arab World,ARB,1960,91540853.0, 0, 31.0105359618617
United Arab Emirates,ARE,1960,131334.0, 0, 73.5
Argentina,ARG,1960,20386045.0, 0, 73.611
Armenia,ARM,1960,1863705.0, 0, 51.275
American Samoa,ASM,1960,20133.0, 0, 66.211
Antigua and Barbuda,ATG,1960,55603.0, 0, 39.656
Australia,AUS,1960,10276477.0,18607682977.2293,81.529
Austria,AUT,1960,7047539.0,6624086313.14334,64.72
Azerbaijan,AZE,1960,3894500.0, 0, 52.663
Burundi,BDI,1960,2764258.0,195999989.80792,2.077
Belgium,BEL,1960,9153489.0,11810619368.3874,92.46
Benin,BEN,1960,2517286.0,226195578.434497,9.275
Burkina Faso,BFA,1960,4778621.0,330442815.821186,4.7
Bangladesh,BGD,1960,51828660.0,4274894083.33333,5.135
Bulgaria,BGR,1960,7867374.0, 0, 37.1
Bahrain,BHR,1960,165477.0, 0, 82.32
"Bahamas, The",BHS,1960,116317.0,169735993.889504,59.712
Bosnia and Herzegovina,BIH,1960,3281381.0, 0, 19.04
Belarus,BLR,1960,8198000.0, 0, 32.401
Belize,BLZ,1960,91318.0,28072478.0724781,54.028
Bermuda,BMU,1960,42208.0,72400000.0,100.0
Bolivia,BOL,1960,3702323.0,373250000.0,36.762
Brazil,BRA,1960,72388126.0,17030465539.3906,46.139
Barbados,BRB,1960,230893.0,80021846.9120401,36.777
Brunei Darussalam,BRN,1960,88347.0, 0, 43.401
Bhutan,BTN,1960,224084.0, 0, 3.596
Botswana,BWA,1960,516165.0,30411413.6552828,3.06
Central African Republic,CAF,1960,1702346.0,112155598.492157,20.1
Canada,CAN,1960,17909356.0,40563768946.9503,69.061
Central Europe and the Baltics,CEB,1960,91401764.0, 0, 44.5078927143901
Switzerland,CHE,1960,5327827.0,10412232620.5258,70.924
Channel Islands,CHI,1960,110808.0, 0, 38.7
Chile,CHL,1960,8153350.0,4110000000.0,67.836
China,CHN,1960,667070000.0,59716249310.9742,16.203
"Cote d'Ivoire",CIV,1960,3673666.0,546203559.344361,17.679
Cameroon,CMR,1960,5159057.0,614206068.497266,13.937
Congo_Dem. Rep.,COD,1960,15264846.0,3359404117.64706,22.3
Congo_Rep.,COG,1960,1056732.0,131731862.783017,31.601
Colombia,COL,1960,15606209.0,4031152976.63904,46.268
Comoros,COM,1960,197700.0, 0, 12.551
Cabo Verde,CPV,1960,210024.0, 0, 16.679
Costa Rica,CRI,1960,1327496.0,507513829.994855,34.254
Caribbean small states,CSS,1960,1713405.0,641146358.588231,36.4057252056577
Cuba,CUB,1960,7238081.0, 0, 58.401
Curacao,CUW,1960,124826.0, 0, 74.71
Cayman Islands,CYM,1960,8428.0, 0, 100.0
Cyprus,CYP,1960,586490.0, 0, 35.628
Czechia,CZE,1960,9602006.0, 0, 59.548
Germany,DEU,1960,72814900.0,84619845881.2608,71.384
Djibouti,DJI,1960,86024.0, 0, 50.325
Dominica,DMA,1960,59372.0, 0, 37.846
Denmark,DNK,1960,4579603.0,6361166544.50349,73.687
Dominican Republic,DOM,1960,3268336.0,672399700.0,30.191
Algeria,DZA,1960,11424922.0,2723615451.30098,30.51
East Asia & Pacific (excluding high income),EAP,1960,895961535.0,80752362533.5747,16.9511618131687
